timebar_1m,symbol,open_price,high_price,low_price,close_price,volume
2017-12-20T00:00:00Z,btcusd,17300.010000,17332,17298.010000,17302,270546.738195
2017-12-20T00:01:00Z,btcusd,17302,17331.540000,17302,17305.780000,189754.827982
2017-12-20T00:02:00Z,btcusd,17305.580000,17331.750000,17285,17331.750000,285488.447559
2017-12-20T00:03:00Z,btcusd,17301.970000,17327.730000,17286,17324.570000,237480.199501
2017-12-20T00:04:00Z,btcusd,17324.570000,17350.020000,17300,17305.170000,304359.571496
2017-12-20T00:05:00Z,btcusd,17321.370000,17364.690000,17305.050000,17310.140000,237316.204044
2017-12-20T00:06:00Z,btcusd,17310.190000,17370.230000,17310,17350.670000,225675.466060
2017-12-20T00:07:00Z,btcusd,17362.790000,17399.940000,17350.940000,17380.480000,122709.149960
2017-12-20T00:08:00Z,btcusd,17380.680000,17399,17363.200000,17398.710000,98744.830868
2017-12-20T00:09:00Z,btcusd,17398.820000,17399,17380.680000,17382.220000,339486.171215
2017-12-20T00:10:00Z,btcusd,17382.310000,17382.970000,17355,17355,86613.640815
2017-12-20T00:11:00Z,btcusd,17355,17355,17300,17300.900000,353648.930528
2017-12-20T00:12:00Z,btcusd,17300,17316.600000,17276.010000,17276.010000,101935.286671
2017-12-20T00:13:00Z,btcusd,17279.700000,17316.600000,17256.900000,17261,110901.394929
2017-12-20T00:14:00Z,btcusd,17260.050000,17289,17256.010000,17289,101848.970434
2017-12-20T00:15:00Z,btcusd,17288.800000,17316.600000,17263.460000,17299.990000,87651.592524
2017-12-20T00:16:00Z,btcusd,17299.990000,17300,17263.860000,17299.900000,143140.133987
2017-12-20T00:17:00Z,btcusd,17299.900000,17300,17265,17298.610000,106365.207999
2017-12-20T00:18:00Z,btcusd,17298.800000,17299,17265,17265.700000,120445.663431
2017-12-20T00:19:00Z,btcusd,17265.700000,17277.070000,17264.960000,17264.960000,137809.977353
2017-12-20T00:20:00Z,btcusd,17264.980000,17277.770000,17255,17260,231973.032305
2017-12-20T00:21:00Z,btcusd,17255,17301,17255,17260,244230.710494
2017-12-20T00:22:00Z,btcusd,17260,17300.440000,17259.510000,17260.230000,54716.804790
2017-12-20T00:23:00Z,btcusd,17260.130000,17289.800000,17260.030000,17260.470000,78477.132641
2017-12-20T00:24:00Z,btcusd,17286.800000,17286.800000,17260.250000,17283.530000,69753.210772
2017-12-20T00:25:00Z,btcusd,17283.500000,17338.580000,17283.360000,17316.600000,85081.974568
2017-12-20T00:26:00Z,btcusd,17314.050000,17339.630000,17298.400000,17337.370000,75009.184114
2017-12-20T00:27:00Z,btcusd,17337.370000,17398.790000,17315.100000,17377.780000,71126.209850
2017-12-20T00:28:00Z,btcusd,17377.930000,17449.990000,17377.680000,17415.640000,106718.376095
2017-12-20T00:29:00Z,btcusd,17415.640000,17500,17415.260000,17485.920000,112293.663931
2017-12-20T00:30:00Z,btcusd,17495.800000,17535.990000,17451.420000,17535.990000,169198.165498
2017-12-20T00:31:00Z,btcusd,17535.990000,17632.190000,17530,17600.250000,252249.262834
2017-12-20T00:32:00Z,btcusd,17600.250000,17631.730000,17600,17613.580000,400499.033381
2017-12-20T00:33:00Z,btcusd,17613.580000,17614.870000,17560,17588,423211.076485
2017-12-20T00:34:00Z,btcusd,17588,17588,17560,17584.800000,329962.025031
2017-12-20T00:35:00Z,btcusd,17584.800000,17585,17550.030000,17550.740000,168683.056115
2017-12-20T00:36:00Z,btcusd,17567.360000,17584.020000,17509.510000,17549.730000,126732.321936
2017-12-20T00:37:00Z,btcusd,17520.020000,17549.730000,17506.080000,17506.300000,156762.530771
2017-12-20T00:38:00Z,btcusd,17506.300000,17506.300000,17500,17500.010000,116217.270206
2017-12-20T00:39:00Z,btcusd,17499.760000,17499.790000,17434.710000,17435.020000,79600.737202
2017-12-20T00:40:00Z,btcusd,17435.020000,17476.570000,17435,17440,51815.060655
2017-12-20T00:41:00Z,btcusd,17440,17467.810000,17399.800000,17399.800000,218983.880994
2017-12-20T00:42:00Z,btcusd,17399.800000,17415.290000,17321.940000,17350,304626.497997
2017-12-20T00:43:00Z,btcusd,17349.750000,17415.710000,17316.910000,17413.590000,210740.571494
2017-12-20T00:44:00Z,btcusd,17319.630000,17410,17317.700000,17349.870000,166402.497233
2017-12-20T00:45:00Z,btcusd,17349.870000,17375.420000,17331.440000,17349.550000,114706.127041
2017-12-20T00:46:00Z,btcusd,17349.500000,17397.210000,17333.140000,17342.060000,82378.656063
2017-12-20T00:47:00Z,btcusd,17349.350000,17383.990000,17327.530000,17327.530000,44519.193761
2017-12-20T00:48:00Z,btcusd,17349.100000,17403.140000,17328.190000,17403.100000,70728.572866
2017-12-20T00:49:00Z,btcusd,17403.100000,17423.120000,17403.070000,17421.060000,80589.767482
2017-12-20T00:50:00Z,btcusd,17421.060000,17445,17421.060000,17423.670000,77289.046687
2017-12-20T00:51:00Z,btcusd,17422.990000,17444.800000,17420.010000,17444.600000,194578.484073
2017-12-20T00:52:00Z,btcusd,17428.400000,17461.130000,17428.400000,17432.160000,208935.579763
2017-12-20T00:53:00Z,btcusd,17445.190000,17460.720000,17423.980000,17444.550000,45076.199206
2017-12-20T00:54:00Z,btcusd,17424.380000,17445,17404,17410.050000,50191.224523
2017-12-20T00:55:00Z,btcusd,17410.020000,17452.800000,17410.010000,17442.460000,9424.778453
2017-12-20T00:56:00Z,btcusd,17438.480000,17442.510000,17414.880000,17416.890000,22265.165662
2017-12-20T00:57:00Z,btcusd,17440.680000,17440.680000,17416.050000,17440.180000,28114.879411
2017-12-20T00:58:00Z,btcusd,17440.230000,17442,17421.010000,17438.900000,16606.993206
2017-12-20T00:59:00Z,btcusd,17450,17502.260000,17450,17499.860000,46737.311593
2017-12-20T01:00:00Z,btcusd,17499.060000,17500,17461.060000,17499.790000,89241.957977
2017-12-20T01:01:00Z,btcusd,17485.270000,17500,17471.660000,17476.830000,131915.032381
2017-12-20T01:02:00Z,btcusd,17476.880000,17500,17474.670000,17500,109807.215502
2017-12-20T01:03:00Z,btcusd,17500,17536.350000,17478.880000,17536.350000,219294.134337
2017-12-20T01:04:00Z,btcusd,17522.240000,17580,17521.870000,17580,302359.627328
2017-12-20T01:05:00Z,btcusd,17580.040000,17645.950000,17580.040000,17621.920000,169592.819872
2017-12-20T01:06:00Z,btcusd,17621.520000,17700,17585.740000,17631.230000,65852.940750
2017-12-20T01:07:00Z,btcusd,17631.230000,17699,17609.930000,17684.600000,91568.670333
2017-12-20T01:08:00Z,btcusd,17680,17698,17628.320000,17697.820000,125208.690138
2017-12-20T01:09:00Z,btcusd,17698,17740,17697.800000,17740,81563.343688
2017-12-20T01:10:00Z,btcusd,17707.290000,17758.020000,17685.460000,17737.420000,143706.149263
2017-12-20T01:11:00Z,btcusd,17737.590000,17758.030000,17686,17758.030000,242589.696898
2017-12-20T01:12:00Z,btcusd,17758.050000,17802.490000,17705.340000,17802.490000,226320.290306
2017-12-20T01:13:00Z,btcusd,17789.850000,17899,17789.850000,17803.610000,412744.885515
2017-12-20T01:14:00Z,btcusd,17834.370000,17834.800000,17806,17829.900000,82372.485942
2017-12-20T01:15:00Z,btcusd,17830,17880.260000,17809.470000,17822.120000,67818.385366
2017-12-20T01:16:00Z,btcusd,17822.370000,17879.840000,17822.370000,17852,47074.826829
2017-12-20T01:17:00Z,btcusd,17851.800000,17879.800000,17831.650000,17874.930000,33683.441375
2017-12-20T01:18:00Z,btcusd,17858.150000,17874.700000,17832.700000,17855.800000,72782.581176
