timebar_1m,symbol,open_price,high_price,low_price,close_price,volume
2019-07-12T00:00:00Z,btcusd,11721.180000,11754.990000,11721.020000,11751.970000,431731.771793
2019-07-12T00:01:00Z,btcusd,11752.520000,11757,11740.010000,11757,390742.606748
2019-07-12T00:02:00Z,btcusd,11756.810000,11770,11756.520000,11766.390000,372219.483955
2019-07-12T00:03:00Z,btcusd,11765.030000,11766,11746.410000,11754.390000,294339.751732
2019-07-12T00:04:00Z,btcusd,11754.350000,11756.090000,11740,11744.410000,259983.501105
2019-07-12T00:05:00Z,btcusd,11744.410000,11746.890000,11730,11730.900000,180643.266602
2019-07-12T00:06:00Z,btcusd,11730.900000,11741.920000,11723.470000,11737.520000,469588.835897
2019-07-12T00:07:00Z,btcusd,11741.760000,11748.570000,11729.280000,11730.420000,296542.927150
2019-07-12T00:08:00Z,btcusd,11729.370000,11735.670000,11722.470000,11723.680000,114820.170190
2019-07-12T00:09:00Z,btcusd,11724.300000,11725.960000,11717.990000,11718.460000,268234.556841
2019-07-12T00:10:00Z,btcusd,11721.080000,11742.360000,11718.730000,11740.590000,251678.663907
2019-07-12T00:11:00Z,btcusd,11742.090000,11742.360000,11732.420000,11736.520000,212265.072128
2019-07-12T00:12:00Z,btcusd,11736.390000,11738,11724.560000,11732.490000,239189.331385
2019-07-12T00:13:00Z,btcusd,11731.970000,11742.360000,11730.430000,11740.880000,251800.963984
2019-07-12T00:14:00Z,btcusd,11740.880000,11742.260000,11730.500000,11734.310000,167935.826315
2019-07-12T00:15:00Z,btcusd,11733.930000,11744.880000,11732.680000,11738.920000,391487.728374
2019-07-12T00:16:00Z,btcusd,11740,11742.350000,11735.390000,11742.350000,354047.150315
2019-07-12T00:17:00Z,btcusd,11742.350000,11759.980000,11742.130000,11759.420000,726913.611686
2019-07-12T00:18:00Z,btcusd,11759.420000,11770.980000,11758.190000,11768.490000,356776.892924
2019-07-12T00:19:00Z,btcusd,11768.510000,11770.970000,11755.100000,11755.100000,489100.798576
