timebar_1m,symbol,open_price,high_price,low_price,close_price,volume
2020-11-20T00:00:00Z,btcusd,18112.770000,18160.020000,18108.110000,18156.020000,2448996.178979
2020-11-20T00:01:00Z,btcusd,18156.150000,18159.420000,18100.270000,18137.990000,1093256.274303
2020-11-20T00:02:00Z,btcusd,18138,18143.770000,18098.280000,18101.010000,450642.932395
2020-11-20T00:03:00Z,btcusd,18101,18128.170000,18087.310000,18106.730000,1360121.670342
2020-11-20T00:04:00Z,btcusd,18106.730000,18138.520000,18106.730000,18127.760000,667536.943944
2020-11-20T00:05:00Z,btcusd,18127.770000,18132.310000,18118,18123.020000,457999.527037
2020-11-20T00:06:00Z,btcusd,18123.130000,18123.130000,18088.590000,18089.750000,659678.375615
2020-11-20T00:07:00Z,btcusd,18089.190000,18109.410000,18088.840000,18096.440000,645808.694313
2020-11-20T00:08:00Z,btcusd,18096.210000,18130,18092.570000,18126.960000,2086166.979666
2020-11-20T00:09:00Z,btcusd,18126.950000,18130,18107.870000,18126.220000,927118.247645
2020-11-20T00:10:00Z,btcusd,18127.170000,18130,18107.060000,18110.840000,1381959.952440
2020-11-20T00:11:00Z,btcusd,18109.840000,18111,18092.050000,18099.010000,245102.995646
2020-11-20T00:12:00Z,btcusd,18099.500000,18111.160000,18094.750000,18099.940000,458559.936368
2020-11-20T00:13:00Z,btcusd,18099.940000,18106.580000,18079.080000,18083.540000,503964.839834
2020-11-20T00:14:00Z,btcusd,18083.540000,18083.540000,18047.650000,18052.950000,783913.475226
2020-11-20T00:15:00Z,btcusd,18054.140000,18089.990000,18048.850000,18089.990000,688264.832707
2020-11-20T00:16:00Z,btcusd,18089.990000,18099.560000,18076.510000,18084.380000,833708.995677
2020-11-20T00:17:00Z,btcusd,18084.370000,18100,18084.370000,18100,409263.236453
2020-11-20T00:18:00Z,btcusd,18100,18116.040000,18100,18108.020000,527977.260208
2020-11-20T00:19:00Z,btcusd,18106.560000,18128.650000,18101.190000,18126.090000,762024.462932
2020-11-20T00:20:00Z,btcusd,18126.090000,18149.550000,18126.090000,18133.200000,1498683.994442
2020-11-20T00:21:00Z,btcusd,18134.870000,18172.720000,18134.250000,18169.580000,734507.797690
2020-11-20T00:22:00Z,btcusd,18172.440000,18172.720000,18140.010000,18145.780000,1122571.260059
2020-11-20T00:23:00Z,btcusd,18145.780000,18145.780000,18065,18099.970000,1631176.656547
2020-11-20T00:24:00Z,btcusd,18099.970000,18107.810000,18081.240000,18097.510000,731362.890173
2020-11-20T00:25:00Z,btcusd,18097.500000,18124.800000,18091.820000,18110.140000,696975.425581
2020-11-20T00:26:00Z,btcusd,18110.140000,18112.020000,18088.800000,18106.710000,482770.757833
2020-11-20T00:27:00Z,btcusd,18106.790000,18110.070000,18091.720000,18107.260000,257020.420780
2020-11-20T00:28:00Z,btcusd,18107.260000,18110.550000,18077.500000,18078.200000,281463.557137
2020-11-20T00:29:00Z,btcusd,18078.210000,18099.100000,18078.200000,18093.220000,401884.433180
2020-11-20T00:30:00Z,btcusd,18093.210000,18111.380000,18091.690000,18093.230000,628452.596167
2020-11-20T00:31:00Z,btcusd,18093.220000,18112.920000,18090.770000,18099.120000,615077.415068
2020-11-20T00:32:00Z,btcusd,18099.120000,18101.020000,18079.410000,18095.430000,697533.586317
2020-11-20T00:33:00Z,btcusd,18094.130000,18103.680000,18068.530000,18070.050000,411222.978137
2020-11-20T00:34:00Z,btcusd,18070.060000,18072.070000,18057.220000,18063.150000,637513.165686
2020-11-20T00:35:00Z,btcusd,18063.150000,18083.430000,18063.150000,18064.440000,757315.566448
2020-11-20T00:36:00Z,btcusd,18064.450000,18076,18063.150000,18074.010000,178328.155690
2020-11-20T00:37:00Z,btcusd,18074.020000,18084.190000,18068.780000,18084.180000,317109.107084
2020-11-20T00:38:00Z,btcusd,18084.190000,18084.410000,18023.550000,18054.120000,3240632.880644
