timebar_1m,symbol,open_price,high_price,low_price,close_price,volume
2021-01-31T00:00:00Z,btcusd,34237,34297.270000,34202.970000,34203.280000,1398871.769991
2021-01-31T00:01:00Z,btcusd,34201.210000,34229.990000,34184.310000,34209.990000,371930.444617
2021-01-31T00:02:00Z,btcusd,34209.990000,34210,34172.210000,34205.070000,285412.902964
2021-01-31T00:03:00Z,btcusd,34201.830000,34207.500000,34167.790000,34170.780000,197627.301069
2021-01-31T00:04:00Z,btcusd,34170.780000,34192.130000,34145.940000,34145.950000,508008.586423
2021-01-31T00:05:00Z,btcusd,34145.950000,34174.670000,34123.080000,34123.090000,311799.220122
2021-01-31T00:06:00Z,btcusd,34123.090000,34132.820000,34105.670000,34109.590000,355508.950548
2021-01-31T00:07:00Z,btcusd,34109.590000,34121.130000,34076.700000,34094.420000,490989.941598
2021-01-31T00:08:00Z,btcusd,34088.810000,34119.450000,34074.520000,34087.510000,794249.762048
2021-01-31T00:09:00Z,btcusd,34087.510000,34116.350000,34080.520000,34116.350000,347620.758634
2021-01-31T00:10:00Z,btcusd,34117,34118.380000,34072.050000,34095.700000,884441.228367
2021-01-31T00:11:00Z,btcusd,34094.520000,34112.010000,34080.990000,34084.030000,143267.173942
2021-01-31T00:12:00Z,btcusd,34081.330000,34086.870000,34060,34073.090000,598657.240754
2021-01-31T00:13:00Z,btcusd,34073.100000,34114.180000,34067.910000,34083.140000,525582.944250
2021-01-31T00:14:00Z,btcusd,34085.930000,34097.360000,34061,34061.430000,339456.427360
2021-01-31T00:15:00Z,btcusd,34065.130000,34114.950000,34061,34114.950000,570727.104730
2021-01-31T00:16:00Z,btcusd,34110.550000,34118,34072.590000,34090.640000,525420.812686
2021-01-31T00:17:00Z,btcusd,34090.640000,34106.040000,34061.010000,34069.050000,807518.505430
2021-01-31T00:18:00Z,btcusd,34069.050000,34102.380000,34069.040000,34093,493731.593221
2021-01-31T00:19:00Z,btcusd,34092.800000,34114.950000,34080.010000,34096.470000,372546.331557
2021-01-31T00:20:00Z,btcusd,34099.980000,34137.040000,34087.670000,34114.650000,495180.955867
2021-01-31T00:21:00Z,btcusd,34114.530000,34138.890000,34111.460000,34122.500000,344966.144397
2021-01-31T00:22:00Z,btcusd,34122.500000,34126.230000,34085.250000,34108.050000,485813.090118
2021-01-31T00:23:00Z,btcusd,34107.480000,34144.560000,34107.480000,34131.900000,635632.289401
2021-01-31T00:24:00Z,btcusd,34131.900000,34197.620000,34131.900000,34177.320000,888350.386118
2021-01-31T00:25:00Z,btcusd,34177.330000,34220.850000,34177.330000,34205.750000,852591.142523
2021-01-31T00:26:00Z,btcusd,34205.750000,34252.070000,34205.750000,34243.820000,1797725.679668
2021-01-31T00:27:00Z,btcusd,34243.820000,34279.010000,34243.820000,34256.410000,756203.627536
2021-01-31T00:28:00Z,btcusd,34255.380000,34261.850000,34218.380000,34229.910000,822886.625870
2021-01-31T00:29:00Z,btcusd,34229.910000,34248.650000,34216.250000,34226.340000,594337.278299
2021-01-31T00:30:00Z,btcusd,34226.330000,34226.940000,34203.720000,34205.720000,405837.775484
2021-01-31T00:31:00Z,btcusd,34205.720000,34222.400000,34204.840000,34207.380000,392364.354885
2021-01-31T00:32:00Z,btcusd,34206.290000,34209.960000,34170,34193.430000,936803.645517
2021-01-31T00:33:00Z,btcusd,34191.750000,34222.130000,34181.600000,34216.860000,397229.669593
2021-01-31T00:34:00Z,btcusd,34223,34302.430000,34218.990000,34290.930000,1957726.123914
2021-01-31T00:35:00Z,btcusd,34290.940000,34306.780000,34257.420000,34265.390000,552729.779565
2021-01-31T00:36:00Z,btcusd,34265.400000,34309.320000,34265.390000,34309.310000,350950.901637
2021-01-31T00:37:00Z,btcusd,34309.320000,34352.620000,34309.300000,34338.890000,779506.909454
2021-01-31T00:38:00Z,btcusd,34338.900000,34343.330000,34267.130000,34303.050000,531912.128546
2021-01-31T00:39:00Z,btcusd,34303.060000,34327.220000,34284.630000,34291.960000,394326.389592
2021-01-31T00:40:00Z,btcusd,34291.970000,34313.390000,34272,34308.040000,454544.086276
2021-01-31T00:41:00Z,btcusd,34308.050000,34309.210000,34269.410000,34295.720000,509480.009642
2021-01-31T00:42:00Z,btcusd,34295.720000,34343.030000,34295.720000,34319.590000,617109.194657
2021-01-31T00:43:00Z,btcusd,34319.590000,34347.760000,34285.670000,34342.990000,830449.268066
2021-01-31T00:44:00Z,btcusd,34343,34343,34309.260000,34325.810000,382278.479439
2021-01-31T00:45:00Z,btcusd,34325.820000,34500,34315.020000,34440.620000,5005807.738118
2021-01-31T00:46:00Z,btcusd,34440.610000,34499.820000,34382.120000,34466.410000,2900813.154128
2021-01-31T00:47:00Z,btcusd,34466.420000,34487.160000,34429.010000,34450.920000,2837894.030030
2021-01-31T00:48:00Z,btcusd,34450.920000,34480.870000,34390.110000,34417.090000,1351447.927092
2021-01-31T00:49:00Z,btcusd,34417.090000,34450,34400,34400.020000,1064132.850259
2021-01-31T00:50:00Z,btcusd,34402.420000,34402.430000,34347.760000,34361.180000,2199652.163123
2021-01-31T00:51:00Z,btcusd,34369.140000,34373.120000,34248.180000,34303.200000,880337.960952
2021-01-31T00:52:00Z,btcusd,34298.790000,34313.430000,34261.200000,34284.250000,523495.009983
2021-01-31T00:53:00Z,btcusd,34284.250000,34290.930000,34259.560000,34289.120000,307452.941861
2021-01-31T00:54:00Z,btcusd,34289.120000,34289.120000,34234.960000,34253.470000,483367.052161
2021-01-31T00:55:00Z,btcusd,34253.460000,34283.950000,34252.340000,34283.950000,525240.930696
2021-01-31T00:56:00Z,btcusd,34283.940000,34287.740000,34226.200000,34242.040000,688356.682959
2021-01-31T00:57:00Z,btcusd,34242.040000,34287.880000,34242.040000,34260.310000,533789.448020
2021-01-31T00:58:00Z,btcusd,34260.320000,34260.320000,34177.210000,34203.700000,652947.971564
2021-01-31T00:59:00Z,btcusd,34203.710000,34248.180000,34203.700000,34212.010000,594664.330406
2021-01-31T01:00:00Z,btcusd,34210.700000,34263.460000,34170,34170.010000,6957976.221684
2021-01-31T01:01:00Z,btcusd,34170.020000,34248.170000,34155,34248.170000,7104528.258136
