timebar_1m,symbol,open_price,high_price,low_price,close_price,volume
2020-10-18T00:00:00Z,btcusd,11355.930000,11366.940000,11355.650000,11366,273342.312273
2020-10-18T00:01:00Z,btcusd,11366.540000,11405,11366.530000,11387.810000,3251465.848431
2020-10-18T00:02:00Z,btcusd,11387.810000,11400,11387.800000,11394.100000,473473.078991
2020-10-18T00:03:00Z,btcusd,11392.750000,11392.760000,11381.770000,11386.790000,461173.649837
2020-10-18T00:04:00Z,btcusd,11386.790000,11389.980000,11383.580000,11383.580000,197063.015583
2020-10-18T00:05:00Z,btcusd,11383.380000,11389.770000,11383.380000,11389.550000,259105.006474
2020-10-18T00:06:00Z,btcusd,11389.550000,11389.780000,11382.180000,11382.180000,127041.774372
2020-10-18T00:07:00Z,btcusd,11383.970000,11383.970000,11370.300000,11372.800000,290435.667145
2020-10-18T00:08:00Z,btcusd,11372.790000,11372.810000,11364.540000,11364.540000,106210.850512
2020-10-18T00:09:00Z,btcusd,11364.540000,11366.770000,11358.120000,11366.770000,292992.996682
2020-10-18T00:10:00Z,btcusd,11366.900000,11371.420000,11366.900000,11371.410000,82653.511493
2020-10-18T00:11:00Z,btcusd,11371.420000,11378.670000,11371.410000,11377.380000,106436.953820
2020-10-18T00:12:00Z,btcusd,11377.380000,11377.380000,11364.080000,11367.670000,115046.303713
2020-10-18T00:13:00Z,btcusd,11367.670000,11369.140000,11354.890000,11354.890000,63356.857575
2020-10-18T00:14:00Z,btcusd,11354.900000,11362.340000,11354.890000,11355.010000,158918.117691
2020-10-18T00:15:00Z,btcusd,11355.010000,11358.550000,11347.700000,11358.550000,158669.297439
2020-10-18T00:16:00Z,btcusd,11358.550000,11359.800000,11350.900000,11351.420000,105471.313068
2020-10-18T00:17:00Z,btcusd,11352.300000,11354.560000,11351.350000,11354.560000,94021.847343
2020-10-18T00:18:00Z,btcusd,11354.950000,11358.450000,11354.950000,11358.360000,107678.835009
2020-10-18T00:19:00Z,btcusd,11357.150000,11360,11356.110000,11359.990000,62229.326349
2020-10-18T00:20:00Z,btcusd,11360,11363.140000,11353.290000,11353.310000,90701.001858
2020-10-18T00:21:00Z,btcusd,11353.300000,11353.310000,11333,11338.920000,466577.905326
2020-10-18T00:22:00Z,btcusd,11339.050000,11352.470000,11339.050000,11351.560000,276523.645510
2020-10-18T00:23:00Z,btcusd,11351.560000,11351.560000,11341,11341.130000,125975.417967
2020-10-18T00:24:00Z,btcusd,11341.130000,11352,11341.120000,11345.050000,111509.887177
2020-10-18T00:25:00Z,btcusd,11345.060000,11345.060000,11338.740000,11338.740000,76526.928690
2020-10-18T00:26:00Z,btcusd,11338.560000,11348.700000,11338.550000,11343.740000,87946.749120
2020-10-18T00:27:00Z,btcusd,11343.730000,11346.310000,11341.740000,11346.310000,78740.886884
2020-10-18T00:28:00Z,btcusd,11346.310000,11350,11345,11345,129104.128948
2020-10-18T00:29:00Z,btcusd,11345,11348.040000,11345,11345.330000,103629.177682
2020-10-18T00:30:00Z,btcusd,11346.030000,11347.170000,11345.180000,11346.460000,27940.965042
2020-10-18T00:31:00Z,btcusd,11346.460000,11348.950000,11345.410000,11346.190000,54724.989788
2020-10-18T00:32:00Z,btcusd,11346.180000,11348.650000,11343.550000,11343.550000,119255.593258
2020-10-18T00:33:00Z,btcusd,11343.550000,11343.550000,11338.950000,11338.990000,42242.333515
2020-10-18T00:34:00Z,btcusd,11338.990000,11339,11334.070000,11334.070000,88715.563692
2020-10-18T00:35:00Z,btcusd,11334.070000,11342.690000,11333.960000,11342.670000,216049.415083
2020-10-18T00:36:00Z,btcusd,11342.670000,11346.400000,11341.500000,11341.510000,58214.913331
2020-10-18T00:37:00Z,btcusd,11341.500000,11343.180000,11337.270000,11343.180000,105207.413952
2020-10-18T00:38:00Z,btcusd,11343.180000,11343.720000,11339.520000,11339.520000,67140.002051
2020-10-18T00:39:00Z,btcusd,11339.380000,11341.050000,11336.750000,11340.200000,97934.015041
2020-10-18T00:40:00Z,btcusd,11340.210000,11344.630000,11338.930000,11344.620000,76637.995547
2020-10-18T00:41:00Z,btcusd,11344.620000,11344.840000,11344.620000,11344.830000,22244.175045
2020-10-18T00:42:00Z,btcusd,11344.840000,11344.840000,11339.910000,11341.220000,105306.299477
2020-10-18T00:43:00Z,btcusd,11341.220000,11341.220000,11335,11335.010000,103649.825676
2020-10-18T00:44:00Z,btcusd,11335.010000,11336.510000,11335,11336.510000,59272.320073
2020-10-18T00:45:00Z,btcusd,11336.510000,11343.730000,11336.500000,11343.720000,38482.268312
2020-10-18T00:46:00Z,btcusd,11343.730000,11343.830000,11335,11335,103522.484982
2020-10-18T00:47:00Z,btcusd,11335.010000,11335.010000,11331.270000,11331.640000,230761.502157
2020-10-18T00:48:00Z,btcusd,11331.650000,11331.840000,11324.430000,11330.840000,208146.355635
2020-10-18T00:49:00Z,btcusd,11330.840000,11333.200000,11328.740000,11328.740000,80620.893151
2020-10-18T00:50:00Z,btcusd,11328.750000,11334.140000,11328.740000,11334.130000,210671.597808
2020-10-18T00:51:00Z,btcusd,11334.140000,11335.690000,11333.580000,11335.680000,48330.656911
2020-10-18T00:52:00Z,btcusd,11335.680000,11342.350000,11335.680000,11341.060000,92718.489839
2020-10-18T00:53:00Z,btcusd,11341.070000,11342.340000,11335.670000,11335.670000,49383.907096
2020-10-18T00:54:00Z,btcusd,11335.220000,11335.220000,11332.210000,11334.910000,90731.485408
2020-10-18T00:55:00Z,btcusd,11333.820000,11335.850000,11332.810000,11335.850000,43790.525647
2020-10-18T00:56:00Z,btcusd,11335.850000,11337.920000,11335.850000,11337.850000,88996.296402
2020-10-18T00:57:00Z,btcusd,11337.840000,11339.280000,11335.870000,11335.870000,48150.210995
2020-10-18T00:58:00Z,btcusd,11335.870000,11335.870000,11333,11335.030000,192496.853717
2020-10-18T00:59:00Z,btcusd,11335.040000,11338.840000,11335.030000,11336.850000,61261.229272
