timebar_1m,symbol,open_price,high_price,low_price,close_price,volume
2020-02-16T00:00:00Z,XBTUSD,9904.500000,9907.000000,9904.000000,9907.000000,1310517,
2020-02-16T00:01:00Z,XBTUSD,9907.000000,9907.000000,9906.500000,9906.500000,2757037,
2020-02-16T00:02:00Z,XBTUSD,9906.500000,9907.000000,9906.500000,9907.000000,1068111,
2020-02-16T00:03:00Z,XBTUSD,9907.000000,9907.000000,9900.000000,9900.000000,1315383,
2020-02-16T00:04:00Z,XBTUSD,9900.000000,9900.500000,9894.500000,9894.500000,1737445,
2020-02-16T00:05:00Z,XBTUSD,9894.500000,9894.500000,9888.000000,9888.500000,1178017,
2020-02-16T00:06:00Z,XBTUSD,9888.500000,9888.500000,9887.500000,9887.500000,971109,
2020-02-16T00:07:00Z,XBTUSD,9887.500000,9888.000000,9887.500000,9887.500000,1378737,
2020-02-16T00:08:00Z,XBTUSD,9887.500000,9888.000000,9880.000000,9880.000000,2022724,
2020-02-16T00:09:00Z,XBTUSD,9880.000000,9880.500000,9880.000000,9880.500000,795952,
2020-02-16T00:10:00Z,XBTUSD,9880.500000,9880.500000,9875.000000,9875.000000,2907541,
2020-02-16T00:11:00Z,XBTUSD,9875.000000,9875.500000,9862.000000,9870.000000,5544848,
2020-02-16T00:12:00Z,XBTUSD,9870.000000,9878.500000,9869.500000,9870.500000,3606593,
2020-02-16T00:13:00Z,XBTUSD,9870.500000,9871.000000,9870.500000,9870.500000,889701,
2020-02-16T00:14:00Z,XBTUSD,9870.500000,9884.000000,9870.500000,9884.000000,3005825,
2020-02-16T00:15:00Z,XBTUSD,9884.000000,9891.000000,9884.000000,9891.000000,2955138,
2020-02-16T00:16:00Z,XBTUSD,9891.000000,9903.000000,9891.000000,9903.000000,1613630,
2020-02-16T00:17:00Z,XBTUSD,9903.000000,9903.000000,9902.500000,9903.000000,1340614,
2020-02-16T00:18:00Z,XBTUSD,9903.000000,9903.000000,9902.500000,9903.000000,124805,
2020-02-16T00:19:00Z,XBTUSD,9903.000000,9903.000000,9902.500000,9903.000000,1028976,
2020-02-16T00:20:00Z,XBTUSD,9903.000000,9903.000000,9902.500000,9903.000000,896419,
2020-02-16T00:21:00Z,XBTUSD,9903.000000,9903.500000,9902.500000,9903.500000,966645,
2020-02-16T00:22:00Z,XBTUSD,9903.500000,9903.500000,9903.000000,9903.000000,449418,
2020-02-16T00:23:00Z,XBTUSD,9903.000000,9903.500000,9903.000000,9903.000000,319005,
2020-02-16T00:24:00Z,XBTUSD,9903.000000,9903.500000,9903.000000,9903.000000,402005,
2020-02-16T00:25:00Z,XBTUSD,9903.000000,9906.000000,9903.000000,9905.500000,1883410,
2020-02-16T00:26:00Z,XBTUSD,9905.500000,9918.000000,9905.500000,9918.000000,2924085,
2020-02-16T00:27:00Z,XBTUSD,9918.000000,9918.000000,9917.500000,9917.500000,846025,
2020-02-16T00:28:00Z,XBTUSD,9917.500000,9918.000000,9917.500000,9918.000000,754434,
2020-02-16T00:29:00Z,XBTUSD,9918.000000,9918.500000,9917.500000,9918.000000,1056066,
2020-02-16T00:30:00Z,XBTUSD,9918.000000,9918.500000,9918.000000,9918.000000,535112,
2020-02-16T00:31:00Z,XBTUSD,9918.000000,9918.500000,9913.000000,9913.000000,2497730,
2020-02-16T00:32:00Z,XBTUSD,9913.000000,9915.500000,9905.000000,9915.000000,2601579,
2020-02-16T00:33:00Z,XBTUSD,9915.000000,9915.500000,9906.000000,9906.000000,553539,
2020-02-16T00:34:00Z,XBTUSD,9906.000000,9909.500000,9906.000000,9909.500000,1452000,
2020-02-16T00:35:00Z,XBTUSD,9909.500000,9913.000000,9909.000000,9913.000000,1928872,
2020-02-16T00:36:00Z,XBTUSD,9913.000000,9918.000000,9913.000000,9917.500000,1238921,
2020-02-16T00:37:00Z,XBTUSD,9917.500000,9921.500000,9917.500000,9921.000000,1325736,
2020-02-16T00:38:00Z,XBTUSD,9921.000000,9921.500000,9921.000000,9921.000000,524424,
2020-02-16T00:39:00Z,XBTUSD,9921.000000,9921.500000,9921.000000,9921.500000,107646,
2020-02-16T00:40:00Z,XBTUSD,9921.500000,9923.000000,9921.000000,9923.000000,470263,
2020-02-16T00:41:00Z,XBTUSD,9923.000000,9923.000000,9922.500000,9923.000000,264295,
2020-02-16T00:42:00Z,XBTUSD,9923.000000,9923.000000,9922.500000,9923.000000,347866,
2020-02-16T00:43:00Z,XBTUSD,9923.000000,9923.000000,9922.500000,9923.000000,209378,
2020-02-16T00:44:00Z,XBTUSD,9923.000000,9923.000000,9922.500000,9923.000000,143467,
2020-02-16T00:45:00Z,XBTUSD,9923.000000,9923.000000,9922.000000,9922.000000,2171736,
2020-02-16T00:46:00Z,XBTUSD,9922.000000,9922.500000,9922.000000,9922.500000,413818,
2020-02-16T00:47:00Z,XBTUSD,9922.500000,9923.000000,9922.000000,9922.500000,488856,
