timebar_1m,symbol,open_price,high_price,low_price,close_price,volume
2020-09-02T00:00:00Z,XBTUSD,11930.500000,11937.500000,11930.000000,11937.000000,825820,
2020-09-02T00:01:00Z,XBTUSD,11937.000000,11936.500000,11923.000000,11923.500000,4422150,
2020-09-02T00:02:00Z,XBTUSD,11923.500000,11942.000000,11923.000000,11942.000000,2562277,
2020-09-02T00:03:00Z,XBTUSD,11942.000000,11954.000000,11942.000000,11953.500000,3103696,
2020-09-02T00:04:00Z,XBTUSD,11953.500000,11957.500000,11953.500000,11957.500000,1489839,
2020-09-02T00:05:00Z,XBTUSD,11957.500000,11957.500000,11950.000000,11950.000000,646802,
2020-09-02T00:06:00Z,XBTUSD,11950.000000,11950.500000,11948.000000,11948.000000,272103,
2020-09-02T00:07:00Z,XBTUSD,11948.000000,11948.500000,11947.500000,11947.500000,972891,
2020-09-02T00:08:00Z,XBTUSD,11947.500000,11948.000000,11947.500000,11948.000000,77675,
2020-09-02T00:09:00Z,XBTUSD,11948.000000,11954.000000,11947.500000,11953.500000,1123260,
2020-09-02T00:10:00Z,XBTUSD,11953.500000,11957.000000,11953.500000,11956.500000,437031,
2020-09-02T00:11:00Z,XBTUSD,11956.500000,11957.000000,11956.500000,11957.000000,1247605,
2020-09-02T00:12:00Z,XBTUSD,11957.000000,11957.000000,11929.500000,11930.000000,2986453,
2020-09-02T00:13:00Z,XBTUSD,11930.000000,11933.500000,11929.500000,11932.000000,2217343,
2020-09-02T00:14:00Z,XBTUSD,11932.000000,11932.500000,11932.000000,11932.000000,376442,
2020-09-02T00:15:00Z,XBTUSD,11932.000000,11932.500000,11919.000000,11919.500000,3233873,
2020-09-02T00:16:00Z,XBTUSD,11919.500000,11919.500000,11919.000000,11919.500000,2988888,
2020-09-02T00:17:00Z,XBTUSD,11919.500000,11938.500000,11919.000000,11938.500000,2712227,
2020-09-02T00:18:00Z,XBTUSD,11938.500000,11953.000000,11938.500000,11953.000000,1349098,
2020-09-02T00:19:00Z,XBTUSD,11953.000000,11954.500000,11952.500000,11954.500000,1532015,
2020-09-02T00:20:00Z,XBTUSD,11954.500000,11954.500000,11945.500000,11952.000000,908236,
2020-09-02T00:21:00Z,XBTUSD,11952.000000,11952.000000,11951.500000,11951.500000,528696,
2020-09-02T00:22:00Z,XBTUSD,11951.500000,11955.500000,11951.500000,11955.000000,723040,
2020-09-02T00:23:00Z,XBTUSD,11955.000000,11955.500000,11953.000000,11953.500000,826180,
2020-09-02T00:24:00Z,XBTUSD,11953.500000,11953.500000,11953.000000,11953.000000,440441,
2020-09-02T00:25:00Z,XBTUSD,11953.000000,11956.500000,11950.500000,11950.500000,1680233,
