timebar_1m,symbol,open_price,high_price,low_price,close_price,volume
2018-01-02T00:00:00Z,XBTUSD,13459.000000,13489.000000,13459.000000,13477.000000,543716,
2018-01-02T00:01:00Z,XBTUSD,13477.000000,13534.000000,13476.500000,13532.000000,1140020,
2018-01-02T00:02:00Z,XBTUSD,13532.000000,13548.000000,13511.000000,13525.000000,349731,
2018-01-02T00:03:00Z,XBTUSD,13525.000000,13543.000000,13522.500000,13543.000000,341779,
2018-01-02T00:04:00Z,XBTUSD,13543.000000,13570.500000,13543.000000,13559.000000,497061,
2018-01-02T00:05:00Z,XBTUSD,13559.000000,13600.000000,13557.500000,13600.000000,1206297,
2018-01-02T00:06:00Z,XBTUSD,13600.000000,13620.500000,13567.500000,13571.500000,1748131,
2018-01-02T00:07:00Z,XBTUSD,13571.500000,13623.500000,13566.500000,13623.500000,638981,
2018-01-02T00:08:00Z,XBTUSD,13623.500000,13626.000000,13599.500000,13625.500000,689268,
2018-01-02T00:09:00Z,XBTUSD,13625.500000,13630.000000,13595.000000,13600.000000,352735,
2018-01-02T00:10:00Z,XBTUSD,13600.000000,13616.000000,13597.500000,13610.000000,417044,
2018-01-02T00:11:00Z,XBTUSD,13610.000000,13610.000000,13599.000000,13599.000000,146274,
2018-01-02T00:12:00Z,XBTUSD,13599.000000,13597.000000,13555.000000,13555.500000,513312,
2018-01-02T00:13:00Z,XBTUSD,13555.500000,13600.000000,13555.000000,13596.500000,327311,
2018-01-02T00:14:00Z,XBTUSD,13596.500000,13599.500000,13557.500000,13565.000000,209412,
2018-01-02T00:15:00Z,XBTUSD,13565.000000,13590.000000,13555.500000,13555.500000,149112,
2018-01-02T00:16:00Z,XBTUSD,13555.500000,13591.000000,13562.000000,13574.000000,421955,
2018-01-02T00:17:00Z,XBTUSD,13574.000000,13574.000000,13570.000000,13574.000000,52405,
2018-01-02T00:18:00Z,XBTUSD,13574.000000,13610.500000,13573.500000,13603.500000,382465,
2018-01-02T00:19:00Z,XBTUSD,13603.500000,13628.000000,13600.000000,13620.500000,289519,
2018-01-02T00:20:00Z,XBTUSD,13620.500000,13628.500000,13610.000000,13616.500000,299983,
2018-01-02T00:21:00Z,XBTUSD,13616.500000,13629.500000,13613.500000,13629.500000,123046,
2018-01-02T00:22:00Z,XBTUSD,13629.500000,13680.000000,13629.500000,13673.000000,1099335,
2018-01-02T00:23:00Z,XBTUSD,13673.000000,13690.500000,13665.000000,13690.500000,465778,
2018-01-02T00:24:00Z,XBTUSD,13690.500000,13705.000000,13690.500000,13703.500000,692299,
2018-01-02T00:25:00Z,XBTUSD,13703.500000,13719.000000,13703.000000,13719.000000,491851,
2018-01-02T00:26:00Z,XBTUSD,13719.000000,13730.500000,13688.000000,13690.500000,659250,
2018-01-02T00:27:00Z,XBTUSD,13690.500000,13700.000000,13685.500000,13700.000000,371581,
2018-01-02T00:28:00Z,XBTUSD,13700.000000,13729.500000,13699.500000,13711.500000,476415,
2018-01-02T00:29:00Z,XBTUSD,13711.500000,13767.500000,13700.000000,13750.000000,1946056,
2018-01-02T00:30:00Z,XBTUSD,13750.000000,13833.000000,13749.500000,13819.500000,1465523,
2018-01-02T00:31:00Z,XBTUSD,13819.500000,13880.000000,13819.500000,13858.500000,2144629,
2018-01-02T00:32:00Z,XBTUSD,13858.500000,13935.500000,13838.000000,13918.000000,1591121,
2018-01-02T00:33:00Z,XBTUSD,13918.000000,13970.000000,13917.500000,13969.000000,1100532,
2018-01-02T00:34:00Z,XBTUSD,13969.000000,13969.000000,13894.000000,13921.500000,2878921,
2018-01-02T00:35:00Z,XBTUSD,13921.500000,13979.000000,13921.500000,13941.000000,1287455,
2018-01-02T00:36:00Z,XBTUSD,13941.000000,13968.000000,13930.000000,13930.000000,1895519,
2018-01-02T00:37:00Z,XBTUSD,13930.000000,13930.000000,13887.000000,13903.500000,1495232,
2018-01-02T00:38:00Z,XBTUSD,13903.500000,13904.000000,13858.500000,13874.000000,1631086,
2018-01-02T00:39:00Z,XBTUSD,13874.000000,13910.000000,13870.000000,13909.500000,797108,
2018-01-02T00:40:00Z,XBTUSD,13909.500000,13910.000000,13905.000000,13906.500000,273330,
2018-01-02T00:41:00Z,XBTUSD,13906.500000,13931.000000,13906.500000,13930.000000,454470,
2018-01-02T00:42:00Z,XBTUSD,13930.000000,13930.000000,13910.000000,13919.000000,232779,
2018-01-02T00:43:00Z,XBTUSD,13919.000000,13919.000000,13881.000000,13882.500000,769137,
2018-01-02T00:44:00Z,XBTUSD,13882.500000,13904.000000,13786.000000,13808.500000,2780521,
2018-01-02T00:45:00Z,XBTUSD,13808.500000,13843.500000,13783.000000,13830.000000,996671,
2018-01-02T00:46:00Z,XBTUSD,13830.000000,13830.500000,13800.000000,13800.500000,910475,
2018-01-02T00:47:00Z,XBTUSD,13800.500000,13827.500000,13800.500000,13827.500000,926085,
2018-01-02T00:48:00Z,XBTUSD,13827.500000,13894.500000,13827.500000,13891.000000,1477381,
2018-01-02T00:49:00Z,XBTUSD,13891.000000,13894.500000,13870.000000,13883.500000,834978,
2018-01-02T00:50:00Z,XBTUSD,13883.500000,13884.000000,13865.000000,13865.000000,574516,
2018-01-02T00:51:00Z,XBTUSD,13865.000000,13865.500000,13841.000000,13842.000000,141003,
2018-01-02T00:52:00Z,XBTUSD,13842.000000,13870.000000,13842.000000,13854.500000,205424,
2018-01-02T00:53:00Z,XBTUSD,13854.500000,13868.500000,13855.000000,13855.500000,165447,
2018-01-02T00:54:00Z,XBTUSD,13855.500000,13876.500000,13855.000000,13855.000000,332367,
2018-01-02T00:55:00Z,XBTUSD,13855.000000,13875.000000,13840.000000,13875.000000,148928,
2018-01-02T00:56:00Z,XBTUSD,13875.000000,13874.500000,13857.000000,13857.000000,49219,
2018-01-02T00:57:00Z,XBTUSD,13857.000000,13857.500000,13850.000000,13852.500000,66551,
2018-01-02T00:58:00Z,XBTUSD,13852.500000,13852.500000,13828.000000,13828.000000,396799,
2018-01-02T00:59:00Z,XBTUSD,13828.000000,13835.000000,13819.500000,13829.500000,324927,
2018-01-02T01:00:00Z,XBTUSD,13829.500000,13889.000000,13829.000000,13852.500000,424749,
2018-01-02T01:01:00Z,XBTUSD,13852.500000,13865.000000,13852.500000,13865.000000,136260,
2018-01-02T01:02:00Z,XBTUSD,13865.000000,13889.500000,13861.000000,13889.000000,257062,
2018-01-02T01:03:00Z,XBTUSD,13889.000000,13922.500000,13889.000000,13916.500000,1031147,
2018-01-02T01:04:00Z,XBTUSD,13916.500000,13920.000000,13900.000000,13903.000000,401064,
2018-01-02T01:05:00Z,XBTUSD,13903.000000,13903.000000,13902.500000,13903.000000,285691,
2018-01-02T01:06:00Z,XBTUSD,13903.000000,13921.500000,13902.500000,13909.000000,322516,
2018-01-02T01:07:00Z,XBTUSD,13909.000000,13910.000000,13860.000000,13863.000000,543234,
2018-01-02T01:08:00Z,XBTUSD,13863.000000,13883.000000,13857.000000,13870.500000,426202,
2018-01-02T01:09:00Z,XBTUSD,13870.500000,13900.000000,13870.500000,13882.500000,418377,
2018-01-02T01:10:00Z,XBTUSD,13882.500000,13912.500000,13882.500000,13912.500000,300176,
2018-01-02T01:11:00Z,XBTUSD,13912.500000,13922.500000,13907.000000,13914.000000,385773,
2018-01-02T01:12:00Z,XBTUSD,13914.000000,13914.000000,13872.000000,13872.500000,725083,
2018-01-02T01:13:00Z,XBTUSD,13872.500000,13873.000000,13862.500000,13862.500000,301464,
2018-01-02T01:14:00Z,XBTUSD,13862.500000,13863.000000,13784.000000,13787.000000,1728738,
2018-01-02T01:15:00Z,XBTUSD,13787.000000,13804.000000,13780.000000,13804.000000,629398,
2018-01-02T01:16:00Z,XBTUSD,13804.000000,13821.500000,13797.000000,13800.000000,719886,
2018-01-02T01:17:00Z,XBTUSD,13800.000000,13810.500000,13797.000000,13810.500000,97475,
2018-01-02T01:18:00Z,XBTUSD,13810.500000,13833.500000,13809.500000,13833.500000,632952,
2018-01-02T01:19:00Z,XBTUSD,13833.500000,13833.500000,13797.000000,13808.500000,196454,
2018-01-02T01:20:00Z,XBTUSD,13808.500000,13826.500000,13809.000000,13820.500000,445663,
2018-01-02T01:21:00Z,XBTUSD,13820.500000,13827.500000,13820.500000,13821.000000,118666,
2018-01-02T01:22:00Z,XBTUSD,13821.000000,13854.500000,13821.500000,13850.500000,342943,
2018-01-02T01:23:00Z,XBTUSD,13850.500000,13850.500000,13810.500000,13844.500000,309326,
2018-01-02T01:24:00Z,XBTUSD,13844.500000,13844.500000,13823.000000,13827.000000,96921,
2018-01-02T01:25:00Z,XBTUSD,13827.000000,13828.500000,13803.500000,13808.000000,280359,
2018-01-02T01:26:00Z,XBTUSD,13808.000000,13815.000000,13794.500000,13805.500000,383775,
2018-01-02T01:27:00Z,XBTUSD,13805.500000,13820.000000,13805.000000,13820.000000,126868,
2018-01-02T01:28:00Z,XBTUSD,13820.000000,13820.500000,13802.500000,13811.000000,115114,
2018-01-02T01:29:00Z,XBTUSD,13811.000000,13814.500000,13796.000000,13796.000000,238332,
2018-01-02T01:30:00Z,XBTUSD,13796.000000,13807.500000,13796.500000,13802.000000,25664,
2018-01-02T01:31:00Z,XBTUSD,13802.000000,13830.500000,13802.500000,13821.000000,443136,
2018-01-02T01:32:00Z,XBTUSD,13821.000000,13824.000000,13802.500000,13805.000000,111843,
2018-01-02T01:33:00Z,XBTUSD,13805.000000,13822.000000,13797.500000,13797.500000,606053,
2018-01-02T01:34:00Z,XBTUSD,13797.500000,13797.500000,13760.000000,13760.000000,597764,
2018-01-02T01:35:00Z,XBTUSD,13760.000000,13793.000000,13748.500000,13791.500000,993658,
2018-01-02T01:36:00Z,XBTUSD,13791.500000,13814.000000,13784.000000,13811.500000,657966,
2018-01-02T01:37:00Z,XBTUSD,13811.500000,13833.000000,13797.000000,13817.000000,225277,
2018-01-02T01:38:00Z,XBTUSD,13817.000000,13817.000000,13796.500000,13809.500000,257452,
2018-01-02T01:39:00Z,XBTUSD,13809.500000,13809.500000,13795.000000,13809.000000,199830,
2018-01-02T01:40:00Z,XBTUSD,13809.000000,13836.500000,13808.500000,13824.000000,253987,
2018-01-02T01:41:00Z,XBTUSD,13824.000000,13826.500000,13797.000000,13826.500000,327305,
2018-01-02T01:42:00Z,XBTUSD,13826.500000,13826.500000,13805.500000,13805.500000,69073,
2018-01-02T01:43:00Z,XBTUSD,13805.500000,13806.000000,13798.000000,13798.000000,227381,
2018-01-02T01:44:00Z,XBTUSD,13798.000000,13798.000000,13765.000000,13765.000000,247504,
2018-01-02T01:45:00Z,XBTUSD,13765.000000,13788.000000,13759.000000,13770.000000,360880,
2018-01-02T01:46:00Z,XBTUSD,13770.000000,13784.500000,13769.500000,13781.000000,160515,
2018-01-02T01:47:00Z,XBTUSD,13781.000000,13781.000000,13759.000000,13759.000000,394975,
2018-01-02T01:48:00Z,XBTUSD,13759.000000,13784.000000,13756.500000,13771.500000,1059212,
2018-01-02T01:49:00Z,XBTUSD,13771.500000,13784.000000,13757.500000,13776.000000,456933,
2018-01-02T01:50:00Z,XBTUSD,13776.000000,13783.500000,13758.000000,13764.000000,152094,
2018-01-02T01:51:00Z,XBTUSD,13764.000000,13764.000000,13750.500000,13755.500000,126541,
2018-01-02T01:52:00Z,XBTUSD,13755.500000,13798.000000,13750.000000,13798.000000,934433,
2018-01-02T01:53:00Z,XBTUSD,13798.000000,13815.000000,13785.000000,13808.500000,752451,
2018-01-02T01:54:00Z,XBTUSD,13808.500000,13820.000000,13790.000000,13820.000000,181183,
2018-01-02T01:55:00Z,XBTUSD,13820.000000,13820.000000,13787.000000,13787.000000,235827,
2018-01-02T01:56:00Z,XBTUSD,13787.000000,13788.500000,13780.500000,13780.500000,42614,
2018-01-02T01:57:00Z,XBTUSD,13780.500000,13800.500000,13770.000000,13770.000000,604253,
2018-01-02T01:58:00Z,XBTUSD,13770.000000,13788.000000,13768.500000,13783.000000,713873,
2018-01-02T01:59:00Z,XBTUSD,13783.000000,13794.000000,13750.000000,13764.500000,726452,
2018-01-02T02:00:00Z,XBTUSD,13764.500000,13765.000000,13721.000000,13721.500000,540319,
2018-01-02T02:01:00Z,XBTUSD,13721.500000,13740.000000,13720.000000,13740.000000,393274,
2018-01-02T02:02:00Z,XBTUSD,13740.000000,13760.000000,13733.500000,13739.000000,551084,
2018-01-02T02:03:00Z,XBTUSD,13739.000000,13734.500000,13710.500000,13713.500000,128870,
2018-01-02T02:04:00Z,XBTUSD,13713.500000,13714.000000,13700.000000,13700.000000,490635,
