timebar_1m,symbol,open_price,high_price,low_price,close_price,volume
2021-07-13T00:00:00Z,XBTUSD,33120.000000,33139.500000,33080.000000,33080.000000,3460200,
2021-07-13T00:01:00Z,XBTUSD,33080.000000,33078.000000,33051.000000,33070.500000,858800,
2021-07-13T00:02:00Z,XBTUSD,33070.500000,33112.000000,33015.000000,33015.000000,1918200,
2021-07-13T00:03:00Z,XBTUSD,33015.000000,33028.500000,32967.000000,32967.000000,2064000,
2021-07-13T00:04:00Z,XBTUSD,32967.000000,32969.000000,32946.000000,32969.000000,862600,
2021-07-13T00:05:00Z,XBTUSD,32969.000000,32969.000000,32899.500000,32908.500000,1560800,
2021-07-13T00:06:00Z,XBTUSD,32908.500000,32909.000000,32850.000000,32874.500000,1598300,
2021-07-13T00:07:00Z,XBTUSD,32874.500000,32896.500000,32874.500000,32881.000000,330400,
2021-07-13T00:08:00Z,XBTUSD,32881.000000,32927.500000,32881.000000,32917.000000,530100,
2021-07-13T00:09:00Z,XBTUSD,32917.000000,32975.000000,32917.500000,32942.000000,1628700,
2021-07-13T00:10:00Z,XBTUSD,32942.000000,32970.500000,32878.000000,32930.500000,3231200,
2021-07-13T00:11:00Z,XBTUSD,32930.500000,32966.500000,32918.500000,32918.500000,451900,
2021-07-13T00:12:00Z,XBTUSD,32918.500000,32919.000000,32918.500000,32919.000000,21900,
2021-07-13T00:13:00Z,XBTUSD,32919.000000,32956.000000,32919.000000,32937.000000,2100000,
2021-07-13T00:14:00Z,XBTUSD,32937.000000,32950.500000,32937.000000,32950.500000,189000,
2021-07-13T00:15:00Z,XBTUSD,32950.500000,32950.500000,32950.000000,32950.000000,63800,
2021-07-13T00:16:00Z,XBTUSD,32950.000000,32950.000000,32923.000000,32949.000000,482700,
2021-07-13T00:17:00Z,XBTUSD,32949.000000,32954.000000,32858.500000,32858.500000,1838800,
2021-07-13T00:18:00Z,XBTUSD,32858.500000,32894.500000,32857.000000,32884.500000,861000,
2021-07-13T00:19:00Z,XBTUSD,32884.500000,32901.000000,32865.000000,32865.000000,454200,
2021-07-13T00:20:00Z,XBTUSD,32865.000000,32865.500000,32843.000000,32843.000000,275600,
