timebar_1m,symbol,open_price,high_price,low_price,close_price,volume
2021-09-03T00:00:00Z,XBTUSD,49360.000000,49360.000000,49314.000000,49314.000000,2296500,
2021-09-03T00:01:00Z,XBTUSD,49314.000000,49314.500000,49286.500000,49286.500000,3291700,
2021-09-03T00:02:00Z,XBTUSD,49286.500000,49357.500000,49287.000000,49347.500000,11972300,
2021-09-03T00:03:00Z,XBTUSD,49347.500000,49347.000000,49304.500000,49344.500000,1710400,
2021-09-03T00:04:00Z,XBTUSD,49344.500000,49380.000000,49344.500000,49380.000000,1116100,
2021-09-03T00:05:00Z,XBTUSD,49380.000000,49379.500000,49370.000000,49370.000000,700000,
2021-09-03T00:06:00Z,XBTUSD,49370.000000,49370.000000,49294.500000,49294.500000,707400,
2021-09-03T00:07:00Z,XBTUSD,49294.500000,49307.500000,49275.500000,49307.500000,685800,
2021-09-03T00:08:00Z,XBTUSD,49307.500000,49307.500000,49230.000000,49243.000000,1930700,
2021-09-03T00:09:00Z,XBTUSD,49243.000000,49298.000000,49248.500000,49286.500000,503800,
2021-09-03T00:10:00Z,XBTUSD,49286.500000,49333.000000,49270.500000,49333.000000,665800,
2021-09-03T00:11:00Z,XBTUSD,49333.000000,49390.000000,49335.000000,49384.500000,766600,
2021-09-03T00:12:00Z,XBTUSD,49384.500000,49410.000000,49370.500000,49370.500000,486000,
2021-09-03T00:13:00Z,XBTUSD,49370.500000,49400.000000,49370.000000,49399.500000,342600,
2021-09-03T00:14:00Z,XBTUSD,49399.500000,49410.500000,49400.000000,49410.500000,417800,
2021-09-03T00:15:00Z,XBTUSD,49410.500000,49423.000000,49412.000000,49412.500000,609800,
2021-09-03T00:16:00Z,XBTUSD,49412.500000,49423.000000,49412.000000,49412.000000,518200,
2021-09-03T00:17:00Z,XBTUSD,49412.000000,49412.500000,49407.500000,49407.500000,84400,
2021-09-03T00:18:00Z,XBTUSD,49407.500000,49408.000000,49347.000000,49347.000000,310600,
2021-09-03T00:19:00Z,XBTUSD,49347.000000,49359.500000,49339.500000,49341.000000,215000,
2021-09-03T00:20:00Z,XBTUSD,49341.000000,49357.500000,49331.000000,49350.000000,386700,
2021-09-03T00:21:00Z,XBTUSD,49350.000000,49354.500000,49340.000000,49340.000000,183600,
2021-09-03T00:22:00Z,XBTUSD,49340.000000,49355.000000,49298.500000,49298.500000,605200,
