timebar_1m,symbol,open_price,high_price,low_price,close_price,volume
2017-03-07T00:00:00Z,XBTUSD,1279.790000,1279.790000,1279.790000,1279.790000,1050,
2017-03-07T00:01:00Z,XBTUSD,1279.790000,1279.790000,1279.780000,1279.780000,8985,
2017-03-07T00:02:00Z,XBTUSD,1279.780000,1279.780000,1279.780000,1279.780000,400,
2017-03-07T00:03:00Z,XBTUSD,1279.780000,1279.780000,1279.780000,1279.780000,0,
2017-03-07T00:04:00Z,XBTUSD,1279.780000,1279.790000,1279.790000,1279.790000,10,
2017-03-07T00:05:00Z,XBTUSD,1279.790000,1279.790000,1279.790000,1279.790000,1990,
2017-03-07T00:06:00Z,XBTUSD,1279.790000,1279.790000,1279.790000,1279.790000,2000,
2017-03-07T00:07:00Z,XBTUSD,1279.790000,1279.790000,1279.790000,1279.790000,0,
2017-03-07T00:08:00Z,XBTUSD,1279.790000,1279.810000,1279.810000,1279.810000,5,
2017-03-07T00:09:00Z,XBTUSD,1279.810000,1279.810000,1279.810000,1279.810000,0,
2017-03-07T00:10:00Z,XBTUSD,1279.810000,1279.810000,1279.810000,1279.810000,0,
2017-03-07T00:11:00Z,XBTUSD,1279.810000,1279.810000,1279.810000,1279.810000,0,
2017-03-07T00:12:00Z,XBTUSD,1279.810000,1279.810000,1279.810000,1279.810000,0,
2017-03-07T00:13:00Z,XBTUSD,1279.810000,1279.800000,1279.800000,1279.800000,5,
2017-03-07T00:14:00Z,XBTUSD,1279.800000,1279.800000,1279.800000,1279.800000,0,
2017-03-07T00:15:00Z,XBTUSD,1279.800000,1279.800000,1279.800000,1279.800000,0,
2017-03-07T00:16:00Z,XBTUSD,1279.800000,1279.810000,1279.810000,1279.810000,11000,
2017-03-07T00:17:00Z,XBTUSD,1279.810000,1279.810000,1279.810000,1279.810000,5,
2017-03-07T00:18:00Z,XBTUSD,1279.810000,1279.810000,1279.810000,1279.810000,2006,
2017-03-07T00:19:00Z,XBTUSD,1279.810000,1279.810000,1279.810000,1279.810000,0,
2017-03-07T00:20:00Z,XBTUSD,1279.810000,1279.810000,1279.810000,1279.810000,0,
2017-03-07T00:21:00Z,XBTUSD,1279.810000,1279.810000,1279.810000,1279.810000,47800,
2017-03-07T00:22:00Z,XBTUSD,1279.810000,1279.810000,1279.810000,1279.810000,2200,
2017-03-07T00:23:00Z,XBTUSD,1279.810000,1279.810000,1279.690000,1279.810000,1300,
2017-03-07T00:24:00Z,XBTUSD,1279.810000,1279.810000,1279.810000,1279.810000,0,
2017-03-07T00:25:00Z,XBTUSD,1279.810000,1279.810000,1279.810000,1279.810000,0,
2017-03-07T00:26:00Z,XBTUSD,1279.810000,1279.790000,1279.000000,1279.770000,53700,
2017-03-07T00:27:00Z,XBTUSD,1279.770000,1279.760000,1279.740000,1279.760000,5000,
2017-03-07T00:28:00Z,XBTUSD,1279.760000,1279.760000,1279.760000,1279.760000,0,
2017-03-07T00:29:00Z,XBTUSD,1279.760000,1279.760000,1279.760000,1279.760000,0,
2017-03-07T00:30:00Z,XBTUSD,1279.760000,1280.220000,1279.810000,1280.220000,19000,
2017-03-07T00:31:00Z,XBTUSD,1280.220000,1280.220000,1280.220000,1280.220000,0,
2017-03-07T00:32:00Z,XBTUSD,1280.220000,1280.280000,1280.180000,1280.190000,23201,
2017-03-07T00:33:00Z,XBTUSD,1280.190000,1280.500000,1280.500000,1280.500000,7045,
