timebar_1m,symbol,open_price,high_price,low_price,close_price,volume
2020-11-03T00:00:00Z,XBTUSD,13570.500000,13570.500000,13566.000000,13566.000000,269754,
2020-11-03T00:01:00Z,XBTUSD,13566.000000,13577.000000,13565.500000,13576.500000,2002332,
2020-11-03T00:02:00Z,XBTUSD,13576.500000,13578.500000,13571.500000,13571.500000,1125686,
2020-11-03T00:03:00Z,XBTUSD,13571.500000,13571.000000,13528.000000,13535.000000,4398271,
2020-11-03T00:04:00Z,XBTUSD,13535.000000,13540.000000,13508.500000,13535.000000,5842423,
2020-11-03T00:05:00Z,XBTUSD,13535.000000,13542.500000,13535.500000,13539.000000,1207448,
2020-11-03T00:06:00Z,XBTUSD,13539.000000,13541.000000,13520.000000,13520.000000,1848825,
2020-11-03T00:07:00Z,XBTUSD,13520.000000,13519.500000,13504.000000,13509.000000,2919776,
2020-11-03T00:08:00Z,XBTUSD,13509.000000,13512.000000,13508.500000,13512.000000,411953,
2020-11-03T00:09:00Z,XBTUSD,13512.000000,13512.000000,13496.500000,13496.500000,2245249,
2020-11-03T00:10:00Z,XBTUSD,13496.500000,13501.500000,13492.000000,13492.000000,1331599,
2020-11-03T00:11:00Z,XBTUSD,13492.000000,13504.000000,13487.000000,13503.500000,3535488,
2020-11-03T00:12:00Z,XBTUSD,13503.500000,13504.000000,13503.500000,13504.000000,509990,
2020-11-03T00:13:00Z,XBTUSD,13504.000000,13509.000000,13500.500000,13509.000000,1781548,
2020-11-03T00:14:00Z,XBTUSD,13509.000000,13515.000000,13504.000000,13505.500000,983586,
2020-11-03T00:15:00Z,XBTUSD,13505.500000,13515.000000,13506.500000,13513.000000,995532,
2020-11-03T00:16:00Z,XBTUSD,13513.000000,13513.000000,13505.500000,13505.500000,536141,
2020-11-03T00:17:00Z,XBTUSD,13505.500000,13511.500000,13505.500000,13508.000000,350273,
2020-11-03T00:18:00Z,XBTUSD,13508.000000,13509.500000,13506.000000,13506.000000,259121,
2020-11-03T00:19:00Z,XBTUSD,13506.000000,13505.500000,13494.500000,13494.500000,838104,
2020-11-03T00:20:00Z,XBTUSD,13494.500000,13495.500000,13490.000000,13490.000000,316776,
2020-11-03T00:21:00Z,XBTUSD,13490.000000,13500.500000,13490.000000,13500.000000,758173,
2020-11-03T00:22:00Z,XBTUSD,13500.000000,13509.000000,13500.000000,13509.000000,776325,
2020-11-03T00:23:00Z,XBTUSD,13509.000000,13512.000000,13502.500000,13503.000000,392702,
2020-11-03T00:24:00Z,XBTUSD,13503.000000,13502.500000,13500.000000,13500.500000,67239,
2020-11-03T00:25:00Z,XBTUSD,13500.500000,13500.500000,13487.500000,13488.000000,1514885,
2020-11-03T00:26:00Z,XBTUSD,13488.000000,13487.500000,13461.000000,13473.000000,8423716,
2020-11-03T00:27:00Z,XBTUSD,13473.000000,13473.500000,13468.000000,13468.500000,504137,
2020-11-03T00:28:00Z,XBTUSD,13468.500000,13482.000000,13468.500000,13473.500000,900799,
2020-11-03T00:29:00Z,XBTUSD,13473.500000,13478.000000,13473.000000,13477.500000,507827,
2020-11-03T00:30:00Z,XBTUSD,13477.500000,13480.000000,13477.500000,13479.500000,354135,
2020-11-03T00:31:00Z,XBTUSD,13479.500000,13483.000000,13479.500000,13483.000000,659480,
2020-11-03T00:32:00Z,XBTUSD,13483.000000,13483.000000,13483.000000,13483.000000,295241,
2020-11-03T00:33:00Z,XBTUSD,13483.000000,13490.000000,13482.500000,13490.000000,351505,
2020-11-03T00:34:00Z,XBTUSD,13490.000000,13498.000000,13489.500000,13498.000000,3085213,
2020-11-03T00:35:00Z,XBTUSD,13498.000000,13498.000000,13487.500000,13488.000000,1676098,
