timebar_1m,symbol,open_price,high_price,low_price,close_price,volume
2017-08-23T00:00:00Z,XBTUSD,4095.400000,4101.600000,4095.700000,4101.600000,67983,
2017-08-23T00:01:00Z,XBTUSD,4101.600000,4101.600000,4093.600000,4095.000000,73168,
2017-08-23T00:02:00Z,XBTUSD,4095.000000,4095.000000,4081.900000,4082.100000,256834,
2017-08-23T00:03:00Z,XBTUSD,4082.100000,4087.500000,4080.600000,4080.600000,101520,
2017-08-23T00:04:00Z,XBTUSD,4080.600000,4082.400000,4080.000000,4081.700000,48561,
2017-08-23T00:05:00Z,XBTUSD,4081.700000,4093.600000,4081.900000,4092.500000,294954,
2017-08-23T00:06:00Z,XBTUSD,4092.500000,4092.400000,4086.700000,4086.700000,21948,
2017-08-23T00:07:00Z,XBTUSD,4086.700000,4086.600000,4086.100000,4086.100000,20379,
2017-08-23T00:08:00Z,XBTUSD,4086.100000,4086.100000,4086.100000,4086.100000,3503,
2017-08-23T00:09:00Z,XBTUSD,4086.100000,4088.000000,4086.100000,4087.700000,10074,
2017-08-23T00:10:00Z,XBTUSD,4087.700000,4088.800000,4087.700000,4088.600000,25541,
2017-08-23T00:11:00Z,XBTUSD,4088.600000,4089.000000,4069.000000,4069.700000,252826,
2017-08-23T00:12:00Z,XBTUSD,4069.700000,4080.400000,4070.800000,4080.400000,109122,
2017-08-23T00:13:00Z,XBTUSD,4080.400000,4080.400000,4071.800000,4080.100000,164111,
2017-08-23T00:14:00Z,XBTUSD,4080.100000,4080.500000,4080.200000,4080.500000,20500,
2017-08-23T00:15:00Z,XBTUSD,4080.500000,4080.500000,4080.400000,4080.400000,41842,
2017-08-23T00:16:00Z,XBTUSD,4080.400000,4080.800000,4080.400000,4080.800000,13357,
2017-08-23T00:17:00Z,XBTUSD,4080.800000,4082.700000,4080.800000,4082.700000,13876,
2017-08-23T00:18:00Z,XBTUSD,4082.700000,4087.600000,4082.700000,4085.500000,146545,
2017-08-23T00:19:00Z,XBTUSD,4085.500000,4085.500000,4079.500000,4080.800000,45524,
2017-08-23T00:20:00Z,XBTUSD,4080.800000,4080.900000,4079.800000,4079.900000,12845,
2017-08-23T00:21:00Z,XBTUSD,4079.900000,4087.500000,4079.900000,4087.000000,34219,
2017-08-23T00:22:00Z,XBTUSD,4087.000000,4092.000000,4087.500000,4092.000000,83681,
2017-08-23T00:23:00Z,XBTUSD,4092.000000,4091.900000,4088.000000,4088.000000,32563,
2017-08-23T00:24:00Z,XBTUSD,4088.000000,4088.000000,4084.800000,4084.800000,4733,
2017-08-23T00:25:00Z,XBTUSD,4084.800000,4084.800000,4084.300000,4084.300000,10003,
2017-08-23T00:26:00Z,XBTUSD,4084.300000,4090.900000,4084.300000,4090.800000,125837,
2017-08-23T00:27:00Z,XBTUSD,4090.800000,4092.000000,4090.500000,4090.500000,26627,
2017-08-23T00:28:00Z,XBTUSD,4090.500000,4090.200000,4090.000000,4090.200000,11523,
2017-08-23T00:29:00Z,XBTUSD,4090.200000,4090.200000,4084.200000,4084.200000,58464,
2017-08-23T00:30:00Z,XBTUSD,4084.200000,4087.400000,4084.400000,4087.400000,15103,
2017-08-23T00:31:00Z,XBTUSD,4087.400000,4089.000000,4088.700000,4088.900000,2504,
2017-08-23T00:32:00Z,XBTUSD,4088.900000,4086.600000,4085.500000,4085.500000,839,
2017-08-23T00:33:00Z,XBTUSD,4085.500000,4085.400000,4082.100000,4082.700000,17943,
2017-08-23T00:34:00Z,XBTUSD,4082.700000,4082.700000,4082.000000,4082.000000,12425,
2017-08-23T00:35:00Z,XBTUSD,4082.000000,4082.000000,4082.000000,4082.000000,2747,
2017-08-23T00:36:00Z,XBTUSD,4082.000000,4086.600000,4082.100000,4086.600000,40577,
2017-08-23T00:37:00Z,XBTUSD,4086.600000,4087.300000,4081.300000,4081.300000,24435,
2017-08-23T00:38:00Z,XBTUSD,4081.300000,4084.700000,4079.700000,4084.700000,51647,
2017-08-23T00:39:00Z,XBTUSD,4084.700000,4085.000000,4084.700000,4084.900000,12503,
2017-08-23T00:40:00Z,XBTUSD,4084.900000,4085.000000,4084.000000,4084.000000,11844,
2017-08-23T00:41:00Z,XBTUSD,4084.000000,4082.800000,4082.700000,4082.800000,5010,
2017-08-23T00:42:00Z,XBTUSD,4082.800000,4081.800000,4081.500000,4081.500000,11000,
2017-08-23T00:43:00Z,XBTUSD,4081.500000,4081.500000,4081.500000,4081.500000,0,
2017-08-23T00:44:00Z,XBTUSD,4081.500000,4081.300000,4076.000000,4076.000000,132956,
2017-08-23T00:45:00Z,XBTUSD,4076.000000,4076.000000,4073.600000,4073.700000,168304,
2017-08-23T00:46:00Z,XBTUSD,4073.700000,4077.200000,4073.500000,4077.200000,26477,
2017-08-23T00:47:00Z,XBTUSD,4077.200000,4078.900000,4077.200000,4078.800000,6332,
2017-08-23T00:48:00Z,XBTUSD,4078.800000,4078.700000,4074.300000,4074.800000,21574,
2017-08-23T00:49:00Z,XBTUSD,4074.800000,4074.100000,4073.900000,4073.900000,6448,
2017-08-23T00:50:00Z,XBTUSD,4073.900000,4078.800000,4074.800000,4078.800000,7779,
2017-08-23T00:51:00Z,XBTUSD,4078.800000,4078.800000,4078.200000,4078.700000,34196,
2017-08-23T00:52:00Z,XBTUSD,4078.700000,4078.800000,4078.800000,4078.800000,2300,
2017-08-23T00:53:00Z,XBTUSD,4078.800000,4078.700000,4076.600000,4076.600000,21694,
2017-08-23T00:54:00Z,XBTUSD,4076.600000,4076.400000,4075.800000,4075.800000,9739,
2017-08-23T00:55:00Z,XBTUSD,4075.800000,4076.600000,4075.800000,4076.600000,6345,
2017-08-23T00:56:00Z,XBTUSD,4076.600000,4079.100000,4077.500000,4079.100000,10335,
2017-08-23T00:57:00Z,XBTUSD,4079.100000,4079.100000,4079.100000,4079.100000,698,
2017-08-23T00:58:00Z,XBTUSD,4079.100000,4079.400000,4079.400000,4079.400000,4476,
2017-08-23T00:59:00Z,XBTUSD,4079.400000,4079.500000,4079.500000,4079.500000,1000,
2017-08-23T01:00:00Z,XBTUSD,4079.500000,4079.800000,4079.600000,4079.800000,10515,
2017-08-23T01:01:00Z,XBTUSD,4079.800000,4081.400000,4078.900000,4080.300000,176438,
2017-08-23T01:02:00Z,XBTUSD,4080.300000,4080.900000,4080.800000,4080.900000,69993,
2017-08-23T01:03:00Z,XBTUSD,4080.900000,4081.400000,4080.900000,4081.400000,7230,
2017-08-23T01:04:00Z,XBTUSD,4081.400000,4083.400000,4081.300000,4083.400000,22908,
2017-08-23T01:05:00Z,XBTUSD,4083.400000,4086.500000,4084.800000,4086.500000,21524,
2017-08-23T01:06:00Z,XBTUSD,4086.500000,4087.200000,4085.900000,4087.200000,11868,
2017-08-23T01:07:00Z,XBTUSD,4087.200000,4091.300000,4087.200000,4091.100000,33652,
2017-08-23T01:08:00Z,XBTUSD,4091.100000,4091.100000,4087.600000,4088.800000,49116,
2017-08-23T01:09:00Z,XBTUSD,4088.800000,4092.000000,4089.200000,4090.800000,34648,
2017-08-23T01:10:00Z,XBTUSD,4090.800000,4094.700000,4090.800000,4093.500000,68937,
2017-08-23T01:11:00Z,XBTUSD,4093.500000,4093.800000,4092.900000,4093.000000,8779,
2017-08-23T01:12:00Z,XBTUSD,4093.000000,4093.000000,4086.200000,4087.600000,83340,
2017-08-23T01:13:00Z,XBTUSD,4087.600000,4087.000000,4085.200000,4087.000000,18263,
2017-08-23T01:14:00Z,XBTUSD,4087.000000,4087.000000,4086.900000,4087.000000,3292,
2017-08-23T01:15:00Z,XBTUSD,4087.000000,4090.600000,4087.000000,4090.600000,17233,
2017-08-23T01:16:00Z,XBTUSD,4090.600000,4095.100000,4091.900000,4095.100000,53540,
2017-08-23T01:17:00Z,XBTUSD,4095.100000,4097.000000,4095.400000,4095.700000,22045,
2017-08-23T01:18:00Z,XBTUSD,4095.700000,4097.500000,4095.200000,4096.900000,116076,
2017-08-23T01:19:00Z,XBTUSD,4096.900000,4098.600000,4097.000000,4098.500000,9118,
2017-08-23T01:20:00Z,XBTUSD,4098.500000,4098.700000,4096.300000,4096.400000,31003,
2017-08-23T01:21:00Z,XBTUSD,4096.400000,4096.300000,4094.500000,4094.600000,15747,
2017-08-23T01:22:00Z,XBTUSD,4094.600000,4098.100000,4094.500000,4097.800000,6822,
2017-08-23T01:23:00Z,XBTUSD,4097.800000,4095.200000,4091.400000,4091.400000,9640,
2017-08-23T01:24:00Z,XBTUSD,4091.400000,4091.500000,4091.400000,4091.500000,5210,
2017-08-23T01:25:00Z,XBTUSD,4091.500000,4091.400000,4091.400000,4091.400000,2500,
