timebar_1m,symbol,open_price,high_price,low_price,close_price,volume
2021-04-13T00:00:00Z,XBTUSD,59898.000000,59898.500000,59880.000000,59880.500000,600416,
2021-04-13T00:01:00Z,XBTUSD,59880.500000,59918.000000,59825.000000,59917.500000,5923686,
2021-04-13T00:02:00Z,XBTUSD,59917.500000,59918.000000,59880.000000,59880.500000,1157985,
2021-04-13T00:03:00Z,XBTUSD,59880.500000,59880.500000,59826.500000,59849.500000,2586438,
2021-04-13T00:04:00Z,XBTUSD,59849.500000,59856.500000,59849.500000,59856.500000,902293,
2021-04-13T00:05:00Z,XBTUSD,59856.500000,59934.500000,59856.000000,59934.000000,2649173,
2021-04-13T00:06:00Z,XBTUSD,59934.000000,59934.500000,59934.000000,59934.500000,575217,
2021-04-13T00:07:00Z,XBTUSD,59934.500000,59934.500000,59898.000000,59934.500000,1929694,
2021-04-13T00:08:00Z,XBTUSD,59934.500000,59984.000000,59934.000000,59984.000000,797983,
2021-04-13T00:09:00Z,XBTUSD,59984.000000,60051.000000,59984.000000,60042.500000,2672660,
2021-04-13T00:10:00Z,XBTUSD,60042.500000,60078.500000,60042.000000,60078.000000,1152830,
2021-04-13T00:11:00Z,XBTUSD,60078.000000,60223.000000,60078.000000,60223.000000,2256265,
2021-04-13T00:12:00Z,XBTUSD,60223.000000,60259.500000,60186.500000,60186.500000,2943076,
2021-04-13T00:13:00Z,XBTUSD,60186.500000,60259.500000,60186.500000,60259.500000,2248853,
2021-04-13T00:14:00Z,XBTUSD,60259.500000,60332.000000,60259.000000,60331.500000,2393370,
2021-04-13T00:15:00Z,XBTUSD,60331.500000,60337.000000,60306.500000,60324.500000,2783494,
2021-04-13T00:16:00Z,XBTUSD,60324.500000,60324.500000,60306.500000,60306.500000,1923910,
2021-04-13T00:17:00Z,XBTUSD,60306.500000,60307.000000,60262.500000,60295.500000,3560792,
2021-04-13T00:18:00Z,XBTUSD,60295.500000,60295.500000,60251.000000,60251.500000,1423450,
2021-04-13T00:19:00Z,XBTUSD,60251.500000,60251.500000,60251.000000,60251.000000,327382,
2021-04-13T00:20:00Z,XBTUSD,60251.000000,60251.500000,60250.500000,60251.000000,158373,
2021-04-13T00:21:00Z,XBTUSD,60251.000000,60251.000000,60250.500000,60251.000000,336719,
2021-04-13T00:22:00Z,XBTUSD,60251.000000,60251.000000,60240.500000,60240.500000,2058628,
2021-04-13T00:23:00Z,XBTUSD,60240.500000,60255.500000,60240.500000,60255.500000,804815,
2021-04-13T00:24:00Z,XBTUSD,60255.500000,60258.000000,60257.500000,60258.000000,294474,
2021-04-13T00:25:00Z,XBTUSD,60258.000000,60258.000000,60246.000000,60246.000000,261841,
2021-04-13T00:26:00Z,XBTUSD,60246.000000,60246.500000,60240.000000,60246.000000,220215,
2021-04-13T00:27:00Z,XBTUSD,60246.000000,60246.500000,60246.000000,60246.000000,94674,
2021-04-13T00:28:00Z,XBTUSD,60246.000000,60246.500000,60246.000000,60246.500000,11468,
2021-04-13T00:29:00Z,XBTUSD,60246.500000,60332.000000,60246.000000,60331.500000,2280010,
2021-04-13T00:30:00Z,XBTUSD,60331.500000,60369.000000,60331.500000,60332.000000,2957903,
2021-04-13T00:31:00Z,XBTUSD,60332.000000,60332.000000,60316.500000,60316.500000,976368,
2021-04-13T00:32:00Z,XBTUSD,60316.500000,60315.000000,60295.000000,60295.500000,230988,
2021-04-13T00:33:00Z,XBTUSD,60295.500000,60295.500000,60295.000000,60295.000000,318491,
2021-04-13T00:34:00Z,XBTUSD,60295.000000,60295.000000,60295.000000,60295.000000,14489,
2021-04-13T00:35:00Z,XBTUSD,60295.000000,60295.500000,60270.000000,60270.500000,442960,
2021-04-13T00:36:00Z,XBTUSD,60270.500000,60270.500000,60270.000000,60270.500000,7008,
2021-04-13T00:37:00Z,XBTUSD,60270.500000,60295.500000,60270.000000,60295.500000,1009408,
2021-04-13T00:38:00Z,XBTUSD,60295.500000,60295.500000,60295.000000,60295.500000,6741,
2021-04-13T00:39:00Z,XBTUSD,60295.500000,60295.500000,60295.000000,60295.000000,11495,
2021-04-13T00:40:00Z,XBTUSD,60295.000000,60320.000000,60295.000000,60319.500000,887095,
2021-04-13T00:41:00Z,XBTUSD,60319.500000,60332.000000,60320.000000,60331.500000,718175,
2021-04-13T00:42:00Z,XBTUSD,60331.500000,60405.000000,60331.500000,60404.500000,2247519,
2021-04-13T00:43:00Z,XBTUSD,60404.500000,60414.000000,60404.500000,60413.500000,904150,
2021-04-13T00:44:00Z,XBTUSD,60413.500000,60430.000000,60413.500000,60429.500000,183596,
2021-04-13T00:45:00Z,XBTUSD,60429.500000,60457.500000,60429.500000,60457.500000,648302,
2021-04-13T00:46:00Z,XBTUSD,60457.500000,60460.000000,60457.000000,60459.500000,367016,
2021-04-13T00:47:00Z,XBTUSD,60459.500000,60460.000000,60402.000000,60402.000000,3548529,
2021-04-13T00:48:00Z,XBTUSD,60402.000000,60405.000000,60368.000000,60404.500000,1884039,
2021-04-13T00:49:00Z,XBTUSD,60404.500000,60405.000000,60404.500000,60404.500000,933168,
2021-04-13T00:50:00Z,XBTUSD,60404.500000,60404.500000,60381.500000,60382.000000,524578,
2021-04-13T00:51:00Z,XBTUSD,60382.000000,60382.000000,60381.500000,60381.500000,54166,
2021-04-13T00:52:00Z,XBTUSD,60381.500000,60405.000000,60381.500000,60404.500000,885335,
2021-04-13T00:53:00Z,XBTUSD,60404.500000,60405.000000,60390.500000,60391.000000,185086,
2021-04-13T00:54:00Z,XBTUSD,60391.000000,60391.000000,60390.500000,60391.000000,3000,
