timebar_1m,symbol,open_price,high_price,low_price,close_price,volume
2017-01-08T00:00:00Z,XBTUSD,907.980000,908.220000,908.010000,908.220000,2000,
2017-01-08T00:01:00Z,XBTUSD,908.220000,907.510000,907.350000,907.510000,6000,
2017-01-08T00:02:00Z,XBTUSD,907.510000,907.120000,907.120000,907.120000,3000,
2017-01-08T00:03:00Z,XBTUSD,907.120000,906.700000,904.310000,904.310000,65000,
2017-01-08T00:04:00Z,XBTUSD,904.310000,904.310000,904.310000,904.310000,0,
2017-01-08T00:05:00Z,XBTUSD,904.310000,905.180000,903.070000,903.070000,7364,
2017-01-08T00:06:00Z,XBTUSD,903.070000,904.970000,903.990000,904.970000,8070,
2017-01-08T00:07:00Z,XBTUSD,904.970000,904.700000,903.420000,904.700000,46000,
2017-01-08T00:08:00Z,XBTUSD,904.700000,904.700000,904.700000,904.700000,0,
2017-01-08T00:09:00Z,XBTUSD,904.700000,903.200000,900.990000,900.990000,54000,
2017-01-08T00:10:00Z,XBTUSD,900.990000,902.750000,900.090000,902.750000,53250,
2017-01-08T00:11:00Z,XBTUSD,902.750000,903.000000,901.110000,903.000000,14610,
2017-01-08T00:12:00Z,XBTUSD,903.000000,903.220000,902.800000,903.220000,25250,
2017-01-08T00:13:00Z,XBTUSD,903.220000,903.220000,901.530000,901.540000,5133,
2017-01-08T00:14:00Z,XBTUSD,901.540000,901.540000,901.540000,901.540000,0,
2017-01-08T00:15:00Z,XBTUSD,901.540000,901.540000,901.540000,901.540000,0,
2017-01-08T00:16:00Z,XBTUSD,901.540000,903.150000,900.990000,900.990000,26000,
2017-01-08T00:17:00Z,XBTUSD,900.990000,902.980000,900.360000,901.720000,8006,
2017-01-08T00:18:00Z,XBTUSD,901.720000,901.120000,899.990000,901.120000,31830,
2017-01-08T00:19:00Z,XBTUSD,901.120000,900.470000,896.460000,896.460000,48788,
2017-01-08T00:20:00Z,XBTUSD,896.460000,896.990000,895.350000,895.610000,59901,
2017-01-08T00:21:00Z,XBTUSD,895.610000,897.580000,896.990000,897.470000,30260,
2017-01-08T00:22:00Z,XBTUSD,897.470000,900.880000,897.450000,900.530000,55270,
2017-01-08T00:23:00Z,XBTUSD,900.530000,901.560000,901.000000,901.000000,27650,
2017-01-08T00:24:00Z,XBTUSD,901.000000,901.520000,901.510000,901.510000,13000,
2017-01-08T00:25:00Z,XBTUSD,901.510000,899.550000,898.000000,898.000000,11780,
2017-01-08T00:26:00Z,XBTUSD,898.000000,901.100000,898.000000,901.100000,51502,
2017-01-08T00:27:00Z,XBTUSD,901.100000,901.100000,901.100000,901.100000,0,
2017-01-08T00:28:00Z,XBTUSD,901.100000,901.100000,901.100000,901.100000,0,
2017-01-08T00:29:00Z,XBTUSD,901.100000,901.230000,901.230000,901.230000,820,
2017-01-08T00:30:00Z,XBTUSD,901.230000,900.960000,900.960000,900.960000,25000,
2017-01-08T00:31:00Z,XBTUSD,900.960000,900.970000,900.930000,900.960000,12050,
2017-01-08T00:32:00Z,XBTUSD,900.960000,902.000000,901.100000,902.000000,11320,
2017-01-08T00:33:00Z,XBTUSD,902.000000,902.530000,902.010000,902.010000,5601,
2017-01-08T00:34:00Z,XBTUSD,902.010000,904.280000,902.760000,904.280000,52477,
2017-01-08T00:35:00Z,XBTUSD,904.280000,903.710000,903.330000,903.710000,3273,
2017-01-08T00:36:00Z,XBTUSD,903.710000,902.220000,902.220000,902.220000,10,
2017-01-08T00:37:00Z,XBTUSD,902.220000,902.220000,902.220000,902.220000,0,
2017-01-08T00:38:00Z,XBTUSD,902.220000,903.030000,900.250000,900.250000,43477,
2017-01-08T00:39:00Z,XBTUSD,900.250000,900.110000,899.360000,899.360000,6700,
2017-01-08T00:40:00Z,XBTUSD,899.360000,900.950000,899.110000,900.950000,40501,
2017-01-08T00:41:00Z,XBTUSD,900.950000,902.260000,901.000000,902.260000,1001,
2017-01-08T00:42:00Z,XBTUSD,902.260000,901.060000,901.040000,901.040000,13029,
2017-01-08T00:43:00Z,XBTUSD,901.040000,901.440000,899.110000,899.110000,8251,
2017-01-08T00:44:00Z,XBTUSD,899.110000,901.130000,901.120000,901.130000,500,
2017-01-08T00:45:00Z,XBTUSD,901.130000,900.910000,900.020000,900.910000,101,
2017-01-08T00:46:00Z,XBTUSD,900.910000,900.910000,900.910000,900.910000,0,
2017-01-08T00:47:00Z,XBTUSD,900.910000,900.020000,895.790000,895.790000,158459,
2017-01-08T00:48:00Z,XBTUSD,895.790000,897.650000,897.640000,897.640000,2536,
2017-01-08T00:49:00Z,XBTUSD,897.640000,897.540000,896.270000,897.050000,7038,
2017-01-08T00:50:00Z,XBTUSD,897.050000,897.050000,897.050000,897.050000,0,
2017-01-08T00:51:00Z,XBTUSD,897.050000,897.050000,897.050000,897.050000,0,
2017-01-08T00:52:00Z,XBTUSD,897.050000,897.050000,897.050000,897.050000,0,
2017-01-08T00:53:00Z,XBTUSD,897.050000,897.290000,894.010000,894.010000,45908,
2017-01-08T00:54:00Z,XBTUSD,894.010000,893.590000,888.320000,888.320000,154694,
2017-01-08T00:55:00Z,XBTUSD,888.320000,892.270000,889.080000,892.220000,46928,
2017-01-08T00:56:00Z,XBTUSD,892.220000,891.890000,890.820000,890.820000,4005,
2017-01-08T00:57:00Z,XBTUSD,890.820000,893.700000,891.300000,893.700000,7552,
2017-01-08T00:58:00Z,XBTUSD,893.700000,894.840000,893.910000,894.840000,45030,
2017-01-08T00:59:00Z,XBTUSD,894.840000,895.090000,894.980000,895.090000,1001,
2017-01-08T01:00:00Z,XBTUSD,895.090000,894.950000,894.950000,894.950000,2,
2017-01-08T01:01:00Z,XBTUSD,894.950000,895.020000,894.370000,894.370000,22204,
2017-01-08T01:02:00Z,XBTUSD,894.370000,894.210000,892.010000,892.010000,34277,
2017-01-08T01:03:00Z,XBTUSD,892.010000,897.520000,893.840000,895.540000,103723,
2017-01-08T01:04:00Z,XBTUSD,895.540000,895.540000,895.540000,895.540000,0,
2017-01-08T01:05:00Z,XBTUSD,895.540000,895.540000,895.540000,895.540000,0,
2017-01-08T01:06:00Z,XBTUSD,895.540000,894.890000,894.610000,894.890000,1562,
2017-01-08T01:07:00Z,XBTUSD,894.890000,894.900000,894.900000,894.900000,3000,
2017-01-08T01:08:00Z,XBTUSD,894.900000,897.250000,894.900000,897.250000,27510,
2017-01-08T01:09:00Z,XBTUSD,897.250000,897.070000,897.010000,897.070000,600,
2017-01-08T01:10:00Z,XBTUSD,897.070000,897.670000,897.180000,897.670000,1501,
2017-01-08T01:11:00Z,XBTUSD,897.670000,898.000000,897.670000,898.000000,12000,
2017-01-08T01:12:00Z,XBTUSD,898.000000,897.890000,897.880000,897.880000,200,
2017-01-08T01:13:00Z,XBTUSD,897.880000,898.720000,897.990000,898.720000,17909,
2017-01-08T01:14:00Z,XBTUSD,898.720000,901.930000,898.890000,901.930000,86215,
